"filename", "language", "HTML", "Markdown", "JavaScript", "CSS", "comment", "blank", "total"
"/Users/ruixue/Downloads/light_water_igen_330/1_LandingPage.html", "HTML", 30, 0, 0, 0, 1, 4, 35
"/Users/ruixue/Downloads/light_water_igen_330/1_styles.css", "CSS", 0, 0, 0, 66, 0, 15, 81
"/Users/ruixue/Downloads/light_water_igen_330/3_AboutProject.html", "HTML", 138, 0, 0, 0, 1, 18, 157
"/Users/ruixue/Downloads/light_water_igen_330/4_InstallationWorkings.html", "HTML", 61, 0, 0, 0, 1, 10, 72
"/Users/ruixue/Downloads/light_water_igen_330/5_CleanWaterStatistics.html", "HTML", 61, 0, 0, 0, 1, 10, 72
"/Users/ruixue/Downloads/light_water_igen_330/6_UNSDG6.html", "HTML", 61, 0, 0, 0, 1, 10, 72
"/Users/ruixue/Downloads/light_water_igen_330/7.Global2_AI.html", "HTML", 90, 0, 0, 0, 16, 15, 121
"/Users/ruixue/Downloads/light_water_igen_330/7.Global3_AI.html", "HTML", 75, 0, 0, 0, 2, 10, 87
"/Users/ruixue/Downloads/light_water_igen_330/7.Sensor2_AI.html", "HTML", 280, 0, 0, 0, 27, 21, 328
"/Users/ruixue/Downloads/light_water_igen_330/7.Sensor3_AI.html", "HTML", 200, 0, 0, 0, 7, 22, 229
"/Users/ruixue/Downloads/light_water_igen_330/7_ActivateInstallation.html", "HTML", 95, 0, 0, 0, 8, 8, 111
"/Users/ruixue/Downloads/light_water_igen_330/README.md", "Markdown", 0, 2, 0, 0, 0, 1, 3
"/Users/ruixue/Downloads/light_water_igen_330/bluetooth.js", "JavaScript", 0, 0, 88, 0, 10, 12, 110
"/Users/ruixue/Downloads/light_water_igen_330/main_script.js", "JavaScript", 0, 0, 152, 0, 17, 23, 192
"/Users/ruixue/Downloads/light_water_igen_330/main_styles.css", "CSS", 0, 0, 0, 289, 31, 62, 382
"/Users/ruixue/Downloads/light_water_igen_330/termination.css", "CSS", 0, 0, 0, 2, 0, 1, 3
"Total", "-", 1091, 2, 240, 357, 123, 242, 2055
